@relation news_aggregator

@attribute Pendidikan numeric
@attribute Politik numeric
@attribute HukumdanKriminal numeric
@attribute SosialBudaya numeric
@attribute Olahraga numeric
@attribute TeknologidanSains numeric
@attribute Hiburan numeric
@attribute BisnisdanEkonomi numeric
@attribute Kesehatan numeric
@attribute BencanadanKecelakaan numeric
@attribute label {Pendidikan, Politik, HukumdanKriminal, SosialBudaya, Olahraga, TeknologidanSains, Hiburan, BisnisdanEkonomi, Kesehatan, BencanadanKecelakaan}

@data
1,6,9,4,1,0,2,2,0,1,Politik
0,8,6,1,1,0,1,0,0,3,Politik
2,2,8,3,4,0,2,5,0,4,Politik
0,6,8,0,1,1,1,2,1,3,Politik
0,3,2,1,0,0,3,0,0,1,Politik
0,8,6,2,0,0,2,2,0,0,Politik
2,6,10,1,0,1,0,5,0,0,Politik
0,5,7,3,0,1,4,2,1,3,Politik
1,4,7,1,0,1,1,13,0,1,Politik
0,7,6,3,1,1,0,6,0,0,Politik
7,4,7,1,0,2,1,1,0,0,Politik
3,3,5,1,0,0,1,0,0,0,Politik
2,2,13,4,2,0,3,4,0,2,Politik
1,6,11,1,0,0,1,1,0,6,Politik
1,12,10,6,1,0,1,4,1,1,Politik
1,7,13,2,1,1,0,1,0,0,Politik
0,7,6,3,0,0,5,2,1,1,Politik
0,12,9,0,0,0,2,3,0,1,Politik
1,3,12,2,0,1,1,0,1,1,Politik
1,6,8,4,2,1,5,3,1,0,Politik
2,4,9,1,1,0,5,2,3,0,Politik
1,5,8,4,1,1,3,10,1,0,Politik
2,15,10,5,0,1,2,2,1,0,Politik
2,5,7,2,1,0,1,7,3,3,Politik
0,8,8,3,1,1,2,2,0,0,Politik
0,6,5,1,2,0,2,1,1,2,Politik
1,6,4,5,0,2,2,2,0,0,Politik
2,10,12,1,2,2,2,2,0,9,Politik
2,8,8,1,4,0,1,2,1,6,Politik
0,7,8,2,0,0,1,1,0,0,Politik
1,16,8,1,0,0,1,3,1,0,Politik
3,10,5,1,0,0,2,2,0,1,Politik
0,17,8,2,0,0,2,4,1,0,Politik
3,3,9,1,1,0,3,2,1,7,Politik
0,11,17,0,0,0,2,6,0,1,Politik
0,9,9,0,3,0,1,6,1,1,Politik
3,11,6,2,1,0,3,1,0,0,Politik
0,13,11,1,0,0,5,1,0,4,Politik
0,4,10,3,1,0,1,5,0,2,Politik
0,11,10,0,0,1,1,2,0,1,Politik
0,7,7,1,0,0,1,1,0,1,Politik
0,15,21,5,1,0,1,7,3,0,Politik
1,1,13,3,1,1,6,3,0,4,Politik
0,23,16,3,1,0,3,2,0,3,Politik
0,18,10,2,1,1,1,2,0,0,Politik
0,20,11,4,1,1,4,2,0,2,Politik
0,12,8,0,0,0,5,2,0,1,Politik
15,4,11,3,0,0,4,1,1,1,Politik
1,9,5,2,0,1,0,2,0,0,Politik
0,17,12,1,1,0,1,4,1,3,Politik
1,10,10,2,0,0,1,0,0,0,Politik
0,19,14,3,2,1,4,1,0,0,Politik
0,7,8,3,0,0,0,1,0,1,Politik
1,4,6,2,0,2,3,5,0,1,Politik
0,8,5,0,0,0,0,1,0,0,Politik
0,2,4,1,0,1,2,4,8,1,Politik
2,15,14,3,1,2,4,7,2,2,Politik
1,0,4,1,0,1,5,2,6,1,Politik
0,3,6,2,0,0,3,3,0,0,Politik
0,16,9,2,1,0,2,2,0,0,Politik
0,12,9,3,0,1,1,3,0,0,Politik
0,4,4,2,0,1,2,4,0,0,Politik
1,4,15,4,0,6,5,3,2,4,Politik
0,13,9,0,0,1,3,1,1,0,Politik
1,5,20,10,3,7,3,6,3,2,Politik
0,4,7,2,0,0,1,4,0,1,Politik
0,10,7,6,0,4,1,4,2,1,Politik
0,5,6,4,0,1,5,4,0,0,Politik
1,7,8,5,3,1,2,4,0,0,Politik
1,7,10,6,4,1,2,4,0,1,Politik
0,10,10,6,1,1,2,9,0,0,Politik
1,5,4,2,0,2,1,4,0,0,Politik
0,7,4,3,2,0,3,3,2,0,Politik
1,16,10,5,1,2,3,3,1,0,Politik
0,13,3,3,3,1,1,1,1,0,Politik
1,12,13,7,0,3,3,5,1,1,Politik
3,17,13,5,0,5,5,3,0,2,Politik
0,11,6,5,1,2,1,2,2,0,Politik
0,9,16,3,0,1,3,2,0,1,Politik
1,3,11,4,0,2,2,7,3,4,Politik
0,12,17,5,0,1,2,2,0,1,Politik
1,6,22,3,2,0,2,5,1,5,Politik
0,10,16,1,1,0,3,1,0,1,Politik
0,12,9,2,0,3,2,1,3,0,Politik
0,4,7,4,0,0,1,5,2,0,Politik
0,2,10,0,0,1,2,2,0,6,Politik
0,9,4,2,0,0,4,2,0,0,Politik
1,14,11,3,1,0,3,0,0,1,Politik
2,14,8,3,0,1,5,0,1,0,Politik
4,10,5,2,0,1,3,3,0,0,Politik
0,10,12,4,0,0,2,2,0,2,Politik
0,6,11,4,0,0,4,3,0,2,Politik
0,4,9,3,2,1,3,2,2,4,Politik
1,18,9,2,1,0,1,4,0,0,Politik
0,10,10,4,1,0,4,2,1,1,Politik
1,17,8,1,2,2,2,2,1,0,Politik
1,11,12,1,1,1,5,4,1,0,Politik
0,11,6,1,0,0,0,0,0,0,Politik
1,2,6,2,1,2,4,2,1,8,Politik
0,20,7,2,1,0,2,0,0,0,Politik
1,4,2,3,0,1,0,1,0,1,Politik
0,13,13,4,0,0,2,3,1,1,Politik
1,9,8,2,1,0,0,1,2,1,Politik
1,4,5,0,0,0,1,0,0,2,Politik
0,9,8,2,0,1,1,1,0,0,Politik
0,14,12,2,0,1,1,3,0,2,Politik
0,7,6,5,0,2,3,1,0,0,Politik
1,9,9,4,0,1,1,3,0,2,Politik
0,8,6,3,0,1,1,2,0,1,Politik
3,24,11,7,0,2,2,5,0,0,Politik
0,5,4,2,0,1,0,2,1,0,Politik
1,17,13,1,1,0,3,2,0,0,Politik
0,15,4,2,1,0,3,1,0,0,Politik
1,5,9,3,0,0,2,5,0,1,Politik
0,12,2,2,0,1,0,0,0,1,Politik
1,8,9,4,0,3,1,6,1,1,Politik
1,3,5,1,0,1,1,3,0,5,Politik
0,12,6,1,0,0,1,0,0,0,Politik
0,7,3,0,0,0,1,0,1,1,Politik
0,10,13,5,0,0,2,0,0,0,Politik
1,23,10,3,0,0,3,3,0,0,Politik
1,6,13,4,0,2,1,8,1,1,Politik
0,9,6,2,4,1,0,4,0,1,Politik
0,12,7,2,0,1,1,2,0,1,Politik
0,10,7,2,0,0,3,0,0,0,Politik
1,1,6,0,16,0,4,3,2,1,Politik
